row#,Name,FIPS,Source,ToxPi Score,Costs of Climate Disasters,Economic & Productivity Losses,Transition Risks,Social Stressors
982,"KS, Stanton",20187,"+37.5659319,-101.7893829",0.572307148449033,0.446377657086522,0.493009914076986,0.948649694858327,0.401191327774298
983,"KS, Stevens",20189,"+37.2023561,-101.3157956",0.558924555537181,0.349632710324064,0.521736895181223,0.973496616701072,0.390831999942364
984,"KS, Sumner",20191,"+37.2366630,-097.4933494",0.494340217822533,0.365583597183962,0.706404717324081,0.69861604061115,0.206756516170937
985,"KS, Thomas",20193,"+39.3577058,-101.0834385",0.529203449133981,0.308598867728355,0.53008938716159,0.767911344861471,0.510214196784509
986,"KS, Trego",20195,"+38.9213022,-099.8654230",0.48924140623189,0.323778909433302,0.520544331195272,0.716376988446889,0.396265395852098
987,"KS, Wabaunsee",20197,"+38.9551537,-096.2012619",0.629064815752291,0.537140010047867,0.794247177347597,0.670824298401857,0.514047777211843
988,"KS, Wallace",20199,"+38.9266259,-101.7711031",0.530695466879587,0.454846772713408,0.437403053316683,0.736898705376268,0.493633336111989
989,"KS, Washington",20201,"+39.7767142,-097.0956108",0.614646140843918,0.30233767011508,0.720190539494318,0.873556775511365,0.562499578254909
990,"KS, Wichita",20203,"+38.4819222,-101.3474341",0.554441954606063,0.291833549694892,0.590408058267637,0.90898664554639,0.426539564915334
991,"KS, Wilson",20205,"+37.5585146,-095.7451749",0.598849553667414,0.37503430627171,0.786667673081866,0.840151469478341,0.393544765837739
992,"KS, Woodson",20207,"+37.8884836,-095.7575533",0.544452468674479,0.452558946999005,0.473615729128799,0.808678701810864,0.442956496759247
993,"KS, Wyandotte",20209,"+39.1153842,-094.7630866",0.477466081429244,0.175532761599938,0.488483536365559,0.707910629893065,0.537937397858413
994,"KY, Adair",21001,"+37.1055413,-085.2814005",0.520031190818803,0.421677587568532,0.639516392146007,0.632574786462179,0.386355997098495
995,"KY, Allen",21003,"+36.7507703,-086.1924580",0.543698695026825,0.322554616247595,0.694283948260626,0.755981164947813,0.401975050651268
996,"KY, Anderson",21005,"+38.0053963,-084.9864171",0.532457860267647,0.390553207913049,0.640885262583105,0.588034378418148,0.510358592156287
997,"KY, Ballard",21007,"+37.0511196,-089.0091777",0.535459344904154,0.353809148597549,0.871947063574513,0.632850863371543,0.28323030407301
998,"KY, Barren",21009,"+36.9636142,-085.9249900",0.542367005224881,0.378165725722651,0.779384180369884,0.772361728236733,0.239556386570256
999,"KY, Bath",21011,"+38.1522485,-083.7376405",0.526976915463932,0.345638531158745,0.724966138057857,0.500333946876904,0.536969045762222
1000,"KY, Bell",21013,"+36.7226801,-083.6810456",0.439579004323132,0.232273553091536,0.403787004771473,0.622267915179263,0.499987544250256
1001,"KY, Boone",21015,"+38.9745952,-084.7314442",0.511965347100861,0.47817073607557,0.531413273120805,0.540825226916932,0.497452152290135
1002,"KY, Bourbon",21017,"+38.2025623,-084.2098602",0.566409367239871,0.283043945407163,0.600331622680999,0.875890569248171,0.50637133162315
1003,"KY, Boyd",21019,"+38.3600037,-082.6814063",0.457628280946833,0.402266262504823,0.206302618149849,0.540733201280478,0.681211041852182
1004,"KY, Boyle",21021,"+37.6182001,-084.8730164",0.551777158025401,0.497684064530062,0.611085251479583,0.664967810494203,0.433371505597756
1005,"KY, Bracken",21023,"+38.6785230,-084.1003549",0.496901970119435,0.34642321707592,0.538940016640074,0.606071403163252,0.496173243598493
1006,"KY, Breathitt",21025,"+37.5211779,-083.3224008",0.448108705224693,0.483438012869183,0.244998737544661,0.448615539189412,0.615382531295515
1007,"KY, Breckinridge",21027,"+37.7781094,-086.4328289",0.501895538455174,0.33997609097289,0.71428768619315,0.677575322688484,0.275743053966172
1008,"KY, Bullitt",21029,"+37.9695717,-085.7030364",0.464310059241839,0.265277579799732,0.667405380493392,0.586653993871329,0.337903282802902
