row#,Name,FIPS,Source,ToxPi Score,Sectors Vulnerable to Disruption,Costs of Climate Disasters
63260,"TX, Denton, 48121021514",48121021514,"+33.0819970,-097.0606613",0.442637015889331,0.51414687564164,0.371127156137022
63261,"TX, Denton, 48121021515",48121021515,"+33.1189180,-096.9267923",0.462772878177719,0.51414687564164,0.411398880713798
63262,"TX, Denton, 48121021516",48121021516,"+33.0932829,-096.9113487",0.454732842387395,0.51414687564164,0.39531880913315
63263,"TX, Denton, 48121021517",48121021517,"+33.0627618,-096.9287383",0.435090106397122,0.51414687564164,0.356033337152604
63264,"TX, Denton, 48121021518",48121021518,"+33.0797781,-096.9067256",0.445871185869479,0.51414687564164,0.377595496097317
63265,"TX, Denton, 48121021519",48121021519,"+33.0835430,-096.8716110",0.457820843886042,0.51414687564164,0.401494812130444
63266,"TX, Denton, 48121021520",48121021520,"+33.0907427,-096.8811940",0.434898548755577,0.51414687564164,0.355650221869513
63267,"TX, Denton, 48121021521",48121021521,"+33.0934641,-096.8884498",0.439436695452268,0.51414687564164,0.364726515262896
63268,"TX, Denton, 48121021522",48121021522,"+33.1142332,-096.8799906",0.404767839563745,0.51414687564164,0.29538880348585
63269,"TX, Denton, 48121021523",48121021523,"+33.1023714,-096.8644827",0.438962801849087,0.51414687564164,0.363778728056535
63270,"TX, Denton, 48121021524",48121021524,"+33.1116425,-096.8588360",0.422975047204124,0.51414687564164,0.331803218766608
63271,"TX, Denton, 48121021525",48121021525,"+33.1405516,-096.8741445",0.462202821099867,0.51414687564164,0.410258766558094
63272,"TX, Denton, 48121021526",48121021526,"+33.1646336,-096.8516899",0.454490510431223,0.51414687564164,0.394834145220806
63273,"TX, Denton, 48121021527",48121021527,"+33.1598948,-096.8774618",0.453798133413589,0.51414687564164,0.393449391185538
63274,"TX, Denton, 48121021611",48121021611,"+32.9944418,-096.8984477",0.439674411561655,0.51414687564164,0.365201947481671
63275,"TX, Denton, 48121021612",48121021612,"+33.0053579,-096.9043812",0.414843463785913,0.51414687564164,0.315540051930185
63276,"TX, Denton, 48121021613",48121021613,"+33.0051408,-096.8923780",0.44187078532315,0.51414687564164,0.369594695004659
63277,"TX, Denton, 48121021614",48121021614,"+33.0061633,-096.8824585",0.438548144946304,0.51414687564164,0.362949414250969
63278,"TX, Denton, 48121021615",48121021615,"+32.9954392,-096.8794363",0.418905408956031,0.51414687564164,0.323663942270423
63279,"TX, Denton, 48121021616",48121021616,"+33.0064460,-096.8638802",0.438051941417,0.51414687564164,0.36195700719236
63280,"TX, Denton, 48121021618",48121021618,"+33.0471278,-096.9984046",0.444053311544291,0.51414687564164,0.373959747446942
63281,"TX, Denton, 48121021619",48121021619,"+33.0297896,-096.9646371",0.443089368874185,0.51414687564164,0.372031862106731
63282,"TX, Denton, 48121021620",48121021620,"+33.0067256,-096.9599107",0.420835602219635,0.51414687564164,0.32752432879763
63283,"TX, Denton, 48121021621",48121021621,"+32.9961728,-096.9230605",0.445928883954282,0.51414687564164,0.377710892266923
63284,"TX, Denton, 48121021622",48121021622,"+33.0070830,-096.9267193",0.453878910732313,0.51414687564164,0.393610945822986
63285,"TX, Denton, 48121021623",48121021623,"+33.0231163,-096.9288133",0.44689205731659,0.51414687564164,0.37963723899154
63286,"TX, Denton, 48121021624",48121021624,"+33.0360652,-096.9507058",0.456763045664657,0.51414687564164,0.399379215687674
63287,"TX, Denton, 48121021625",48121021625,"+33.0561450,-096.8817843",0.455896805084817,0.51414687564164,0.397646734527994
63288,"TX, Denton, 48121021626",48121021626,"+33.0754244,-096.8483323",0.428715621988106,0.51414687564164,0.343284368334572
63289,"TX, Denton, 48121021627",48121021627,"+33.0449556,-096.8498223",0.454001230672095,0.51414687564164,0.39385558570255
63290,"TX, Denton, 48121021628",48121021628,"+33.0306575,-096.8738703",0.449255370870114,0.51414687564164,0.384363866098587
63291,"TX, Denton, 48121021629",48121021629,"+33.0337306,-096.8963955",0.448182186492781,0.51414687564164,0.382217497343922
63292,"TX, Denton, 48121021630",48121021630,"+33.0214457,-096.9079432",0.442330831385977,0.51414687564164,0.370514787130315
63293,"TX, Denton, 48121021631",48121021631,"+33.0174867,-096.8945271",0.444738764791749,0.51414687564164,0.375330653941857
63294,"TX, Denton, 48121021632",48121021632,"+33.0183595,-096.8562812",0.444155629481341,0.51414687564164,0.374164383321043
63295,"TX, Denton, 48121021633",48121021633,"+33.0181501,-096.8780283",0.442299289766285,0.51414687564164,0.370451703890931
63296,"TX, Denton, 48121021634",48121021634,"+33.0066541,-096.8530913",0.437031069969889,0.51414687564164,0.359915264298138
63297,"TX, Denton, 48121021635",48121021635,"+33.0023345,-096.8479734",0.413769510100783,0.51414687564164,0.313392144559926
63298,"TX, Denton, 48121021636",48121021636,"+32.9924273,-096.8494488",0.424075926662162,0.51414687564164,0.334004977682684
63299,"TX, Denton, 48121021637",48121021637,"+32.9942514,-096.8606829",0.412422452147586,0.51414687564164,0.310698028653533
63300,"TX, Denton, 48121021638",48121021638,"+32.9946561,-096.8697722",0.43231367455641,0.51414687564164,0.35048047347118
63301,"TX, Denton, 48121021715",48121021715,"+33.0617910,-097.0346004",0.441412277875917,0.51414687564164,0.368677680110193
63302,"TX, Denton, 48121021716",48121021716,"+33.0525190,-097.0188524",0.443295543363881,0.51414687564164,0.372444211086121
63303,"TX, Denton, 48121021717",48121021717,"+33.0498160,-097.0360666",0.423668962837352,0.51414687564164,0.333191050033065
63304,"TX, Denton, 48121021718",48121021718,"+33.0965882,-097.1219545",0.461534292623952,0.51414687564164,0.408921709606264
63305,"TX, Denton, 48121021719",48121021719,"+33.0852603,-097.0899639",0.454817466245106,0.51414687564164,0.395488056848572
63306,"TX, Denton, 48121021720",48121021720,"+33.0657868,-097.0525080",0.430535034928888,0.51414687564164,0.346923194216137
63307,"TX, Denton, 48121021721",48121021721,"+33.0554681,-097.0527855",0.412390910527894,0.51414687564164,0.310634945414148
63308,"TX, Denton, 48121021722",48121021722,"+33.0449489,-097.0565458",0.441514595812967,0.51414687564164,0.368882315984294
63309,"TX, Denton, 48121021723",48121021723,"+33.0238605,-097.0322970",0.402015256264752,0.51414687564164,0.289883636887864
63310,"TX, Denton, 48121021724",48121021724,"+33.0288460,-097.0504478",0.44719054874197,0.51414687564164,0.3802342218423
63311,"TX, Denton, 48121021725",48121021725,"+33.0264632,-097.0659816",0.438822018522168,0.51414687564164,0.363497161402697
63312,"TX, Denton, 48121021726",48121021726,"+33.0168459,-097.0588079",0.435664779321758,0.51414687564164,0.357182683001876
63313,"TX, Denton, 48121021727",48121021727,"+33.0008444,-097.0494052",0.452744181731191,0.51414687564164,0.391341487820742
63314,"TX, Denton, 48121021728",48121021728,"+32.9979543,-097.0111203",0.405697932690767,0.51414687564164,0.297248989739893
63315,"TX, Denton, 48121021729",48121021729,"+33.0146529,-097.0381436",0.43575478833405,0.51414687564164,0.357362701026461
63316,"TX, Denton, 48121021730",48121021730,"+33.0157816,-097.0255228",0.438234267364977,0.51414687564164,0.362321659088314
63317,"TX, Denton, 48121021731",48121021731,"+33.0123021,-097.0124797",0.438828172984547,0.51414687564164,0.363509470327455
63318,"TX, Denton, 48121021732",48121021732,"+33.0135129,-096.9987734",0.414371108798327,0.51414687564164,0.314595341955014
63319,"TX, Denton, 48121021733",48121021733,"+33.0072132,-096.9987144",0.417666823402264,0.51414687564164,0.321186771162888
63320,"TX, Denton, 48121021734",48121021734,"+33.0118098,-096.9902903",0.421739538881546,0.51414687564164,0.329332202121452
63321,"TX, Denton, 48121021735",48121021735,"+33.0077458,-096.9830573",0.430544266622457,0.51414687564164,0.346941657603274
63322,"TX, Denton, 48121021736",48121021736,"+33.0005111,-096.9879614",0.413604878232145,0.51414687564164,0.313062880822651
63323,"TX, Denton, 48121021737",48121021737,"+32.9931812,-096.9919451",0.44015599824281,0.51414687564164,0.36616512084398
63324,"TX, Denton, 48121021738",48121021738,"+32.9959627,-096.9671793",0.428983341101591,0.51414687564164,0.343819806561542
63325,"TX, Denton, 48121021739",48121021739,"+33.0193873,-096.9875048",0.429463389167151,0.51414687564164,0.344779902692661
63326,"TX, Denton, 48121021740",48121021740,"+33.0223646,-097.0013819",0.439491316305881,0.51414687564164,0.364835756970123
63327,"TX, Denton, 48121021741",48121021741,"+33.0233782,-097.0166682",0.415418906018346,0.51414687564164,0.316690936395052
63328,"TX, Denton, 48121021742",48121021742,"+33.0333319,-097.0340775",0.44689205731659,0.51414687564164,0.37963723899154
63329,"TX, Denton, 48121021743",48121021743,"+33.0387014,-097.0278504",0.409556780602379,0.51414687564164,0.304966685563119
63330,"TX, Denton, 48121021744",48121021744,"+33.0396983,-097.0119091",0.407972006539795,0.51414687564164,0.301797137437951
63331,"TX, Denton, 48121021745",48121021745,"+33.0317334,-097.0056860",0.416635950953787,0.51414687564164,0.319125026265934
63332,"TX, Denton, 48121021746",48121021746,"+33.0672885,-097.1183894",0.450054681671582,0.51414687564164,0.385962487701524
63333,"TX, Denton, 48121021747",48121021747,"+33.0567814,-097.0688708",0.447964472386125,0.51414687564164,0.38178206913061
63334,"TX, Denton, 48121021748",48121021748,"+33.0452844,-097.0800992",0.442982435090351,0.51414687564164,0.371817994539062
63335,"TX, Denton, 48121021749",48121021749,"+33.0550191,-097.1019043",0.442260055068619,0.51414687564164,0.370373234495599
63336,"TX, Denton, 48121021750",48121021750,"+33.0254007,-097.1101449",0.452761106502733,0.51414687564164,0.391375337363826
63337,"TX, Denton, 48121021751",48121021751,"+33.0281403,-097.0983774",0.445797332320931,0.51414687564164,0.377447789000222
63338,"TX, Denton, 48121021752",48121021752,"+33.0243953,-097.0843270",0.444388729743945,0.51414687564164,0.37463058384625
63339,"TX, Denton, 48121021753",48121021753,"+33.0052619,-097.0857879",0.457580819853262,0.51414687564164,0.401014764064885
63340,"TX, Denton, 48121021800",48121021800,"+33.0991505,-096.8484150",0.442243899604875,0.51414687564164,0.370340923568109
63341,"TX, Denton, 48121021900",48121021900,"+33.1276452,-096.8551045",0.452947278989697,0.51414687564164,0.391747682337754
63342,"TX, DeWitt, 48123970100",48123970100,"+29.2286110,-097.1800862",0.71692241692418,0.807008418314968,0.626836415533392
63343,"TX, DeWitt, 48123970200",48123970200,"+29.1698440,-097.4060010",0.717064738866694,0.807008418314968,0.627121059418419
63344,"TX, DeWitt, 48123970300",48123970300,"+29.0935397,-097.1804048",0.721328242679724,0.807008418314968,0.635648067044479
63345,"TX, DeWitt, 48123970400",48123970400,"+28.9648920,-097.3732597",0.720195821601994,0.807008418314968,0.633383224889019
63346,"TX, DeWitt, 48123970500",48123970500,"+29.0028093,-097.5907814",0.718443338439582,0.807008418314968,0.629878258564197
63347,"TX, Dickens, 48125950300",48125950300,"+33.6146663,-100.7860953",0.697654627190678,0.988693450140305,0.406615804241051
63348,"TX, Dimmit, 48127950200",48127950200,"+28.4834113,-099.9714441",0.747982184278726,0.91366778454589,0.582296584011563
63349,"TX, Dimmit, 48127950400",48127950400,"+28.4011728,-099.6500045",0.735107818289723,0.91366778454589,0.556547852033556
63350,"TX, Donley, 48129950200",48129950200,"+34.9350342,-100.8933268",0.679741869244573,0.957894736842105,0.40158900164704
63351,"TX, Donley, 48129950300",48129950300,"+34.9550364,-100.8158457",0.693557867977558,0.957894736842105,0.429220999113011
63352,"TX, Duval, 48131950100",48131950100,"+27.8873624,-098.3460839",0.659461954691511,0.783656149476422,0.5352677599066
63353,"TX, Duval, 48131950200",48131950200,"+27.9072852,-098.6378215",0.616339944725476,0.783656149476422,0.44902373997453
63354,"TX, Duval, 48131950500",48131950500,"+27.5182297,-098.5086282",0.660754391791094,0.783656149476422,0.537852634105766
63355,"TX, Eastland, 48133950100",48133950100,"+32.4288783,-098.6018691",0.617754220141161,0.863992882075149,0.371515558207173
63356,"TX, Eastland, 48133950200",48133950200,"+32.4173690,-098.8061548",0.643837601011024,0.863992882075149,0.423682319946899
63357,"TX, Eastland, 48133950300",48133950300,"+32.3923382,-099.0142026",0.624531821835999,0.863992882075149,0.38507076159685
63358,"TX, Eastland, 48133950400",48133950400,"+32.1515719,-098.9923948",0.598179183237057,0.863992882075149,0.332365484398965
63359,"TX, Eastland, 48133950500",48133950500,"+32.2509271,-098.7127383",0.602793491405688,0.863992882075149,0.341594100736227
63360,"TX, Ector, 48135000100",48135000100,"+31.9294171,-102.4129237",0.347721574200166,0.299568818013825,0.395874330386507
63361,"TX, Ector, 48135000300",48135000300,"+31.9070199,-102.3836640",0.30809376024979,0.299568818013825,0.316618702485754
63362,"TX, Ector, 48135000400",48135000400,"+31.8805360,-102.3600140",0.332929323872317,0.299568818013825,0.366289829730809
63363,"TX, Ector, 48135000500",48135000500,"+31.8918823,-102.3789905",0.350567243742641,0.299568818013825,0.401565669471457
63364,"TX, Ector, 48135000600",48135000600,"+31.8768317,-102.3745648",0.323002945362839,0.299568818013825,0.346437072711853
63365,"TX, Ector, 48135000700",48135000700,"+31.8741393,-102.3901894",0.339739236494645,0.299568818013825,0.379909654975464
63366,"TX, Ector, 48135000800",48135000800,"+31.8877930,-102.4142966",0.338283706142019,0.299568818013825,0.376998594270212
63367,"TX, Ector, 48135001000",48135001000,"+31.8558816,-102.4032053",0.318977926966994,0.299568818013825,0.338387035920163
63368,"TX, Ector, 48135001100",48135001100,"+31.8374514,-102.4001749",0.364346315701353,0.299568818013825,0.42912381338888
