row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.Social,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.Economic,ClimateChange.ExtremeEvents
23941,"IL, Will, 17197883306",17197883306,"+41.4134298,-088.1839371",0.451580474594685,0.282458027184167,0.330939783672312,0.58643755738217,0.617370636249174,0.293680619405468,0.540796393469063,0.509380304800442
23942,"IL, Will, 17197883307",17197883307,"+41.4280782,-088.0835269",0.469807596465882,0.40416178021675,0.343690769672652,0.670921630660656,0.534591268197945,0.296616226317982,0.544788930729069,0.49388256946612
23943,"IL, Will, 17197883401",17197883401,"+41.3013428,-088.1491908",0.475510426305364,0.571634143550974,0.451006305664568,0.521604619144118,0.494148497983565,0.3029030230493,0.535708040592489,0.451568354152535
23944,"IL, Will, 17197883402",17197883402,"+41.3369539,-088.2019890",0.49060039165955,0.541169329382342,0.382094744786555,0.635645437543176,0.556123962441727,0.29616527465371,0.522827992422356,0.500176000386986
23945,"IL, Will, 17197883504",17197883504,"+41.4925064,-087.8466566",0.421682463049554,0.327541455787778,0.445746011255594,0.322390208534964,0.553831710953544,0.318000419955719,0.553347201110055,0.430920233749221
23946,"IL, Will, 17197883505",17197883505,"+41.4928052,-087.8092767",0.427420103873455,0.250854147664667,0.437708667813946,0.415572974912631,0.559760205425014,0.326804293296764,0.559169403358811,0.44207103464235
23947,"IL, Will, 17197883507",17197883507,"+41.4262842,-087.8452939",0.444921220042286,0.313078756050436,0.304985311489536,0.618877318690535,0.544721966864592,0.324386596126928,0.546179277782851,0.462219313291122
23948,"IL, Will, 17197883509",17197883509,"+41.4043262,-087.9613435",0.401613360027875,0.291552596282357,0.312250024548662,0.480436696352307,0.429400624745554,0.301099216392213,0.547157082486867,0.449397279387166
23949,"IL, Will, 17197883510",17197883510,"+41.4474142,-087.9607744",0.382613366294774,0.271487913442758,0.223600527821881,0.443956477441732,0.451436230604307,0.294520627407542,0.547240384307493,0.446051403037706
23950,"IL, Will, 17197883511",17197883511,"+41.5253067,-087.7996653",0.390394875950862,0.319984868776286,0.278233617558753,0.347040144836039,0.572676681463202,0.301828055368404,0.523086823079301,0.389913940574051
