row#,Name,FIPS,Source,ToxPi Score,Temperature,Storms,Wildfires,Droughts,Flooding,Precipitation
64242,"TX, Harris, 48201342100",48201342100,"+29.6566646,-095.1380867",0.385133357614198,0.327938876385179,0.59227184267131,0.608571750238582,0.592587526880324,9.58182191499555e-05,0.189334331290639
64243,"TX, Harris, 48201342200",48201342200,"+29.6735514,-095.1465361",0.359978594798037,0.327938876385179,0.561287514083786,0.488627501929146,0.592587526880324,9.58182191499555e-05,0.189334331290639
64244,"TX, Harris, 48201342300",48201342300,"+29.6737001,-095.1312154",0.363572199549751,0.327938876385179,0.498453344258937,0.573023300264278,0.592587526880324,9.58182191499555e-05,0.189334331290639
64245,"TX, Harris, 48201342400",48201342400,"+29.6958394,-095.1477107",0.390796172047443,0.327938876385179,0.573609546246031,0.661210933263335,0.592587526880324,9.58182191499555e-05,0.189334331290639
64246,"TX, Harris, 48201342500",48201342500,"+29.6977920,-095.1293490",0.379150865856715,0.327938876385179,0.55365666291099,0.611291979454007,0.592587526880324,9.58182191499555e-05,0.189334331290639
64247,"TX, Harris, 48201342700",48201342700,"+29.6960655,-095.1188728",0.35165062597873,0.327938876385179,0.513950629929325,0.485996573167762,0.592587526880324,9.58182191499555e-05,0.189334331290639
64248,"TX, Harris, 48201342800",48201342800,"+29.6932891,-095.1025257",0.389372529199142,0.327938876385179,0.560939260473215,0.665339361946342,0.592587526880324,9.58182191499555e-05,0.189334331290639
64249,"TX, Harris, 48201342900",48201342900,"+29.6702500,-095.1050381",0.391836861911281,0.327938876385179,0.548873297142272,0.692191321550121,0.592587526880324,9.58182191499555e-05,0.189334331290639
64250,"TX, Harris, 48201343000",48201343000,"+29.6581300,-095.1073540",0.387140138916047,0.327938876385179,0.547009116050394,0.665875164670592,0.592587526880324,9.58182191499555e-05,0.189334331290639
64251,"TX, Harris, 48201343100",48201343100,"+29.6588158,-095.0784324",0.355120081791711,0.327938876385179,0.477512035235071,0.543251902739903,0.592587526880324,9.58182191499555e-05,0.189334331290639
