row#,Name,FIPS,Source,ToxPi Score,Socioeconomic Status,Housing Composition & Disability,Minority Status & Language,Housing & Transportation,HUD Foreclosure,Undocumented population
23956,"IL, Will, 17197883519",17197883519,"+41.5467946,-087.8911076",0.387348781835289,0.253144807235612,0.55563397938615,0.351538907451225,0.464728843092594,0,0.699046153846154
23957,"IL, Will, 17197883521",17197883521,"+41.5330369,-087.8776790",0.243572770503669,0.127812964059273,0.246324398995937,0.201654868841411,0.18659823727924,0,0.699046153846154
23958,"IL, Will, 17197883522",17197883522,"+41.5330603,-087.8656750",0.239203635462214,0.210441253792047,0.286724995875157,0.239009409259924,0,0,0.699046153846154
23959,"IL, Will, 17197883602",17197883602,"+41.4177294,-087.7408619",0.491617333202827,0.277822289832266,0.437179219459669,0.42558607855975,0.375852671010142,0.734217586508979,0.699046153846154
23960,"IL, Will, 17197883603",17197883603,"+41.4581225,-087.6901464",0.626858266287639,0.611618328566197,0.631188101260408,0.387725393795405,0.507034279039975,0.924537341217696,0.699046153846154
23961,"IL, Will, 17197883605",17197883605,"+41.4415725,-087.6842674",0.466469505356581,0.519372625861442,0.680417640670932,0.467953911861241,0.432026699899717,0,0.699046153846154
23962,"IL, Will, 17197883606",17197883606,"+41.4436154,-087.7083544",0.386311165560845,0.401235818408887,0.503814274137302,0.672400410397119,0.0413703365756086,0,0.699046153846154
23963,"IL, Will, 17197883700",17197883700,"+41.4654065,-087.6325162",0.545024993823246,0.657459787003429,0.575729064960992,0.247627614430696,0.286000220490581,0.804287122207622,0.699046153846154
23964,"IL, Will, 17197883803",17197883803,"+41.4636913,-087.6618307",0.544994407932624,0.402577764689992,0.426227518734449,0.445878022989137,0.481779584795494,0.814457402540517,0.699046153846154
23965,"IL, Will, 17197883804",17197883804,"+41.4530406,-087.6499789",0.52865070075768,0.446618363329887,0.486950314794868,0.428339989485791,0.300050894258893,0.810898488830486,0.699046153846154
